                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.002,                0.71691,                 1.1719,                0.91975,                0.93494,                0.96579,                0.66446,                 1.2284,                0.60037,                 1.3049,              0.0007055,              0.0007055,              0.0007055
                     47,                0.99769,                0.70725,                 1.1662,                0.94222,                0.94124,                0.96437,                0.65759,                 1.2663,                0.60558,                 1.2868,             0.00069313,             0.00069313,             0.00069313
                     48,                0.98958,                0.70093,                 1.1631,                0.95879,                0.91556,                0.96378,                0.68945,                  1.129,                0.58758,                 1.2486,             0.00068075,             0.00068075,             0.00068075
                     49,                0.98424,                0.69567,                 1.1579,                0.95447,                0.91074,                0.96135,                0.68048,                 1.1483,                0.58675,                 1.2597,             0.00066838,             0.00066838,             0.00066838
                     50,                 0.9852,                0.69058,                 1.1578,                0.96203,                0.89034,                0.96149,                0.68329,                 1.1411,                0.59161,                 1.2806,               0.000656,               0.000656,               0.000656
                     51,                0.97999,                0.68154,                 1.1563,                0.96004,                 0.9199,                0.96506,                0.68176,                 1.1874,                0.57813,                 1.2733,             0.00064362,             0.00064362,             0.00064362
                     52,                0.96951,                0.67858,                  1.154,                0.96777,                0.91825,                0.96474,                0.67077,                 1.2257,                0.58141,                 1.2852,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.9554,                0.66751,                 1.1445,                0.95937,                0.92641,                0.96475,                0.67001,                 1.2199,                0.58325,                 1.2829,             0.00061887,             0.00061887,             0.00061887
                     54,                0.95255,                0.66031,                 1.1411,                0.96148,                0.93919,                0.96947,                0.69941,                 1.1167,                0.55181,                 1.2311,              0.0006065,              0.0006065,              0.0006065
                     55,                0.95603,                0.66845,                 1.1418,                0.95071,                0.94143,                0.96865,                0.69758,                 1.1295,                0.55363,                 1.2438,             0.00059413,             0.00059413,             0.00059413
                     56,                0.92668,                0.64498,                 1.1311,                0.96343,                0.93223,                0.96897,                0.68049,                 1.1819,                0.56382,                  1.273,             0.00058175,             0.00058175,             0.00058175
                     57,                0.93957,                0.65487,                 1.1325,                 0.9467,                0.94882,                0.97082,                0.71585,                 1.0908,                0.55236,                 1.2179,             0.00056938,             0.00056938,             0.00056938
                     58,                0.93396,                0.64466,                 1.1324,                0.95074,                0.93547,                 0.9696,                0.71625,                  1.077,                0.53768,                 1.2312,               0.000557,               0.000557,               0.000557
                     59,                0.93071,                0.63897,                 1.1286,                0.96728,                 0.9328,                0.97342,                0.71067,                 1.1305,                0.54926,                 1.2463,             0.00054463,             0.00054463,             0.00054463
